新闻日期,新闻标题,新闻来源,原文链接
2023-04-30 21:25:37,业绩不确定性解除 人工智能再掀涨停潮 机构调研本周关注AIGC最新商用进展,科创板日报,https://www.chinastarmarket.cn/detail/1339095
2023-04-30 16:41:24,七国集团部长同意对人工智能采取“基于风险”的监管,界面,https://www.jiemian.com/article/9334481.html
2023-04-30 12:35:45,欧盟反垄断事务主管：欧盟或于今年就人工智能立法达成政治协议,界面,https://www.jiemian.com/article/9334100.html
2023-04-30 01:03:36,AutoGPT，人工智能的下一阶段,长城研究--宏观策略,https://mp.weixin.qq.com/s?__biz=MzA4NzIzNzAxNA==&chksm=8bb1176fbcc69e7961ba6f7378fe13e21f5c0af4c5034e34d45698c80e11aac6bf97a88625ff&idx=1&mid=2658746262&sn=aa6a07c4b591820e60147ea73848aabb
2023-04-29 20:17:54,夯实上海人工智能产业发展新高地 百度AI技术生态伙伴体系升级,中国经济网,http://www.ce.cn/xwzx/gnsz/gdxw/202304/29/t20230429_38526884.shtml
2023-04-29 17:32:06,无锡高新区与江南大学共建人工智能学院,集微网,https://laoyaoba.com/n/859235
2023-04-29 13:45:12,华西沈百荣：医学人工智能是未来医学的必争之地,界面,https://www.jiemian.com/article/9332238.html
2023-04-29 11:22:36,2023世界人工智能大会SAIL奖提名工作正式启动,中证网,https://www.cs.com.cn/5g/202304/t20230429_6341580.html
2023-04-29 11:00:38,挪威主权财富基金CEO呼吁各国政府加快对人工智能的监管,界面,https://www.jiemian.com/article/9331777.html
2023-04-29 10:03:43,投资总监最新观点出炉 “人工智能”成基金一季报热词,大众证券报,http://www.dzzq.com.cn/finance/46457108.html
2023-04-29 09:02:57,德国劳工部长：人工智能创造的岗位“最终”将超过它消灭的,界面,https://www.jiemian.com/article/9331448.html
2023-04-29 08:42:40,未来破解缺电难题，除了构建新能源系统外，还需应用人工智能,南方都市报,https://m.mp.oeeee.com/a/BAAFRD000020230428792298.html
2023-04-29 07:27:39,【中原策略】市场分析：人工智能全线反弹 A股震荡上扬,中原证券研究所,https://mp.weixin.qq.com/s?__biz=MzUxMzc0NDA4Ng==&chksm=f9538e8ace24079ccb371f97ca56a2801d3066342785e925d55609e1dd0023b9704aa9fbb1e7&idx=1&mid=2247598899&sn=318a70664545f90e1656b93d223da759
2023-04-29 07:12:43,人工智能技术给塔吊装上“千里眼”,长沙晚报,https://www.icswb.com/h/168/20230429/812095.html
2023-04-29 04:51:17,人工智能又取得大胜？ChatGPT的健康问答结果碾压人类医生,科创板日报,https://www.chinastarmarket.cn/detail/1338679
2023-04-29 00:06:19,福建人工智能计算中心正式上线,中国科学报,https://news.sciencenet.cn/htmlnews/2023/4/499671.shtm
2023-04-28 20:47:49,为何重视通用人工智能发展？如何营造创新生态,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_22896644
2023-04-28 20:21:29,清华创新商业论坛：ChatGPT、人工智能与中国式创新型经济,中国侨网,http://www.chinaqw.com/spfts/video714.shtml
2023-04-28 19:40:09,ChatGPT引发人工智能变革 中国如何发力,中国新闻网,https://www.chinanews.com.cn/cj/2023/04-28/9999129.shtml
2023-04-28 19:13:46,科大讯飞大涨9.47%，在人工智能领域持续深耕，5月将推出认知大模型,财闻,https://www.yinsfinance.com/article/417179.shtml
2023-04-28 19:08:34,如何看待人工智能和影视的联系？深港交流分享会举办,深圳新闻网,https://www.sznews.com/news/content/2023-04/28/content_30199890.htm
2023-04-28 18:31:31,芯原股份：用于人工智能的神经网络处理器IP（NPU）业界领先,集微网,https://laoyaoba.com/n/859118
2023-04-28 18:18:36,南威软件集团发布《数字政府人工智能体系研究与应用报告》,南威软件官微,https://mp.weixin.qq.com/s?__biz=MzIxNjE0OTc5OQ==&chksm=8f854274b8f2cb62354c2414aa976b4533122e5c30ead436aeff31341dc6052770d3039bbe28&idx=3&mid=2650576956&sn=db79e12f5c9e707f7c69ff4c7b82ea6c
2023-04-28 18:03:28,赤马人工智能亮相AWE2023，展示智能家庭生活创新成果,中关村在线,https://price.zol.com.cn/816/8169765.html
2023-04-28 17:26:18,微软 AI 设计工具 Microsoft Designer 正在被内置到 Edge 中 用于人工智能生成社交内容,DoNews,https://www.donews.com/news/detail/8/3480621.html
2023-04-28 17:18:55,墨云人工智能实验室Giant_AI战队荣获第六届“强网杯”人工智能挑战赛一等奖,中华网,https://tech.china.com/article/20230428/042023_1267270.html
2023-04-28 17:16:40,竞价如何预判人工智能反弹？次新出现独立个股,财闻,https://www.yinsfinance.com/article/416985.shtml
2023-04-28 17:12:44,日本计划建立人工智能国家战略委员会,集微网,https://laoyaoba.com/n/859078
2023-04-28 14:59:01,政治局会议：加快推进充电桩、储能等设施建设和配套电网改造，要重视通用人工智能发展,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_22894240
2023-04-28 14:56:25,瑞士电台进行人工智能（AI）播报实验：“人类还是‘AI’？”,中国新闻网,https://www2.chinanews.com.cn/gj/2023/04-28/9998879.shtml
2023-04-28 14:02:53,银河基金郑巍山：“数据要素”政策、人工智能技术、商业模式突破或打开软硬件公司长期发展空间,中证网,https://www.cs.com.cn/tzjj/jjks/202304/t20230428_6341255.html
2023-04-28 13:53:35,《数字政通城市治理人工智能应用场景建设实施计划》正式发布,数字政通官微,https://mp.weixin.qq.com/s?__biz=MzA4NzMyNDIxMA==&chksm=8bffab5cbc88224a4a9770cfea9edc947d54757e3a412aa1e5ce19b9cccc92d0fbc8b517abb7&idx=3&mid=2653956097&sn=f95baff60b651746ad4f4c3f76eb9837
2023-04-28 13:41:26,东软集团、大华股份涨超8%，人工智能ETF盘中涨幅近2%,界面,https://www.jiemian.com/article/9326466.html
2023-04-28 12:32:26,人工智能投资潜力超6万亿美元，瞄准这五大领域就是瞄准财富自由,亿欧网,https://mp.weixin.qq.com/s?__biz=MzA5NTI1MDEyNA==&chksm=8bab8576bcdc0c60481d6eb513201450267a4c47a9c832d38349ddf62f4a824c7fdbb8ccfd70&idx=2&mid=2652706517&sn=f1e8c5be2d60554ad59c51c2b0a543bd
2023-04-28 12:31:07,人工智能火了，企业疯狂抢人！这些岗位需求最多,证券时报网,http://egs.stcn.com/news/detail/1426098.html
2023-04-28 11:15:27,小米人工智能实验室声学语音团队获“全国工人先锋号”荣誉称号,智通财经,https://www.zhitongcaijing.com/content/detail/922919.html
2023-04-28 10:49:50,WPP 首席执行官：人工智能在广告中的应用是「机遇」而非威胁,DoNews,https://www.donews.com/news/detail/8/3479546.html
2023-04-28 10:37:06,“AI赋能，智创未来”，汉鑫科技助力济南人工智能岛建设,汉鑫科技官微,https://mp.weixin.qq.com/s?__biz=MzIxMTM4Nzg1Mw==&chksm=97574ab4a020c3a22d8d2f681bd1bf679778b0b1baa4dbc07751d7a498d8205345de4b610f08&idx=1&mid=2247491094&sn=00b4af3a7585e175db0cbe83654de443
2023-04-28 10:18:23,紫光股份一季度业绩增长股价领涨，人工智能ETF震荡走高,界面,https://www.jiemian.com/article/9324929.html
2023-04-28 09:46:51,欧盟达成《人工智能法》协议，为生成式AI设立版权规则,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_22892483
2023-04-28 09:35:44,美媒：人工智能初创公司Synthesia与Accel洽谈融资事宜，估值或达10亿美元,界面,https://www.jiemian.com/article/9324362.html
2023-04-28 09:10:19,人工智能时代，梵克雅宝为何还要费力做一台天象仪自动机械动偶装置？ ,界面,https://www.jiemian.com/article/9323977.html
2023-04-28 09:04:05,公司点评报告 铂科新材2023一季报点评：盈利水平超预期增长，人工智能助力芯片电感,招商有色刘文平,https://mp.weixin.qq.com/s?__biz=MzA3NTc5OTAzNA==&chksm=8745c209b0324b1f53092935c845d7a3f7c1c37a666be292f183e3ad76759f71969fb7ce9615&idx=1&mid=2648335004&sn=1a56a67fcd9c45d668d2fb347aaa09d7
2023-04-28 08:37:16,日本将设立专门机构制定 AI 国家战略：指明人工智能政策基本方向,DoNews,https://www.donews.com/news/detail/8/3479095.html
2023-04-28 08:12:27,昆明人工智能计算中心正式揭牌,昆明信息港,https://www.kunming.cn/news/c/2023-04-28/13697745.shtml
2023-04-28 08:03:07,2022年中国人工智能产业研究报告(Ⅴ),艾瑞咨询,https://mp.weixin.qq.com/s?__biz=MjM5OTIzNzQwMA==&chksm=bf313d1d8846b40b82329b74f8765edb04d654dd0e04a3a7ef60cdead13584537cd2343a6893&idx=1&mid=2650480490&sn=f6b324869a892ee06c73faa21217437f
2023-04-28 07:45:56,赋能福建千行百业，助力经济蓬勃发展，福建人工智能计算中心揭牌成立,通信世界网,http://www.cww.net.cn/article?id=22BFA8985A15496DBC70C771879319B9
2023-04-28 06:11:37,第四届全国人工智能大赛启动 总奖金达534万元,深圳晚报,https://wb.sznews.com/PC/content/202304/28/content_3059960.html
2023-04-28 04:52:10,科技巨头布局人工智能,中华工商时报,http://epaper.cbt.com.cn/epaper/uniflows/html/2023/04/28/06/06_62.htm
2023-04-28 04:22:08,青岛市海慈医疗集团：人工智能术前规划 为髋、膝关节开启精准“智换”时代,大众网,http://qingdao.dzwww.com/jiankang/gg/202304/t20230427_11803548.htm
